X,Y,OBJECTID,SCHOOL_NAME,SCHOOL_TYPE,TYPE_DESC,GRADES,ADDRESS,CITY,ZIP,WEB_ADDRESS,PHONE,REGION,SCH_YR,GlobalID,CreationDate,Creator,EditDate,Editor,MS_points
-77.3918167398866,38.9681865978826,"4837",HERNDON,MS,Middle School,7-8,901 LOCUST ST,HERNDON,"20170",https://herndonms.fcps.edu/,"7033263100","1",2023_24,c35d581b-2c9a-4358-9976-764b6f9f868d,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1920694363943,38.9522992140347,"4838",COOPER,MS,Middle School,7-8,977 BALLS HILL RD,MCLEAN,"22101",https://cooperms.fcps.edu/,"7034425800","1",2023_24,294c2601-4e2c-4c09-ba96-88c2aa24ad30,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.3388422999656,38.9353286334411,"4839",HUGHES,MS,Middle School,7-8,11401 RIDGE HEIGHTS RD,RESTON,"20191",https://hughesms.fcps.edu/,"7037153600","1",2023_24,8ebc79e7-7b97-4a9a-a4f6-7c0e41082b6c,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1747078908509,38.9096681021373,"4840",LONGFELLOW,MS,Middle School,7-8,2000 WESTMORELAND ST,FALLS CHURCH,"22043",https://longfellowms.fcps.edu/,"7035332600","2",2023_24,ddf800da-e426-4251-b0c3-92d14ee4a58a,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.2251536271612,38.90402451049,"4841",KILMER,MS,Middle School,7-8,8100 WOLFTRAP RD,VIENNA,"22182",https://kilmerms.fcps.edu/,"7038468800","5",2023_24,419c0543-24a0-4ca9-ad7c-90fe23892651,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.2405466151609,38.888739381348,"4842",THOREAU,MS,Middle School,7-8,2505 CEDAR LN,VIENNA,"22180",https://thoreaums.fcps.edu/,"7038468000","5",2023_24,ef0a323e-77b7-4e95-96ac-817af217fa75,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.2291278384534,38.8682954481453,"4843",JACKSON,MS,Middle School,7-8,3020 GALLOWS RD,FALLS CHURCH,"22042",https://jacksonms.fcps.edu/,"7032048100","2",2023_24,e599c609-01a3-486a-a5d9-67bb28985c68,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1409839317864,38.837636808692,"4844",GLASGOW,MS,Middle School,6-8,4101 FAIRFAX PKWY,ALEXANDRIA,"22312",https://glasgowms.fcps.edu/,"7038138700","2",2023_24,c8536faa-6a9d-4cfe-9fd4-5ea97d6b72c9,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1866628149131,38.8204946895095,"4845",POE,MS,Middle School,6-8,7000 CINDY LN,ANNANDALE,"22003",https://poems.fcps.edu/,"7038133800","6",2023_24,a494d9db-69df-49c5-a070-ec3d397743af,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1633244500938,38.8152438084491,"4846",HOLMES,MS,Middle School,6-8,6525 MONTROSE ST,ALEXANDRIA,"22312",https://holmesms.fcps.edu/,"7036585900","6",2023_24,d7672da2-afba-4411-87f8-adcef10010a8,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1140024073172,38.7902445454138,"4847",TWAIN,MS,Middle School,7-8,4700 FRANCONIA RD,ALEXANDRIA,"22310",https://twainms.fcps.edu/,"7033133700","3",2023_24,129412d4-1d69-4606-9766-338682fd1ac6,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1617578984587,38.7803824351401,"4848",KEY,MS,Middle School,7-8,6402 FRANCONIA RD,SPRINGFIELD,"22150",https://keyms.fcps.edu/,"7033133900","6",2023_24,d7975472-446a-4864-ba3c-d8cdc4bc43c7,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.0742697754254,38.741485832256,"4849",WHITMAN,MS,Middle School,7-8,2500 PARKERS LN,ALEXANDRIA,"22306",https://whitmanms.fcps.edu/,"7036602400","3",2023_24,18e07025-3c6e-4bd9-bf4b-96f7b576763c,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.1442289662644,38.74956679992,"4850",HAYFIELD,MS,Middle School,7-8,7630 TELEGRAPH RD,ALEXANDRIA,"22315",https://hayfieldss.fcps.edu/,"7039247400","6",2023_24,596ef3b5-5d22-47e0-b24d-4c6c85dd25cc,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.0621250415926,38.7291207864477,"4851",SANDBURG,MS,Middle School,7-8,8428 FORT HUNT RD,ALEXANDRIA,"22308",https://sandburgms.fcps.edu/,"7037996100","3",2023_24,0d8e71a9-2dd4-4ad1-b2e1-c5047f4f3999,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.3024656385003,38.8165776138983,"4852",ROBINSON,MS,Middle School,7-8,5035 SIDEBURN RD,FAIRFAX,"22032",https://robinsonss.fcps.edu/,"7034262100","4",2023_24,3040766a-2032-4518-b7d1-54ffbed0241f,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.2661145751853,38.8023286779048,"4853",LAKE BRADDOCK,MS,Middle School,7-8,9200 BURKE LAKE RD,BURKE,"22015",https://lakebraddockss.fcps.edu/,"7034261000","4",2023_24,3df2f132-2c10-4e44-ba0f-0e95c93245ec,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.4175842413659,38.805418133419,"4854",LIBERTY,MS,Middle School,7-8,6801 UNION MILL RD,CLIFTON,"20124",https://libertyms.fcps.edu/,"7039888100","4",2023_24,cb6174a3-033a-4b03-83e4-7a91d3deedca,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.2244645894331,38.7817300607967,"4855",IRVING,MS,Middle School,7-8,8100 OLD KEENE MILL RD,SPRINGFIELD,"22152",https://irvingms.fcps.edu/,"7039124500","4",2023_24,cb4f470c-855f-425f-ab9a-7f4af202fd49,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.2454529221911,38.721749173206,"4856",SOUTH COUNTY,MS,Middle School,7-8,8700 LAUREL CREST DR,LORTON,"22079",https://southcountyms.fcps.edu/,"7034461600","4",2023_24,853483d6-c4f6-46e0-8298-8d26b32d5ff8,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.4195823962707,38.9273413474471,"4857",CARSON,MS,Middle School,7-8,13618 MCLEAREN RD,HERNDON,"20171",https://carsonms.fcps.edu/,"7039253600","5",2023_24,e1e742b6-6ef5-41ff-918e-ba3834d43f71,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.4207941130319,38.9074949664589,"4858",FRANKLIN,MS,Middle School,7-8,3300 LEES CORNER RD,CHANTILLY,"20151",https://franklinms.fcps.edu/,"7039045100","5",2023_24,5ec8a8f0-e635-4d35-871c-252b62948749,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.4100489751117,38.8741458975507,"4859",ROCKY RUN,MS,Middle School,7-8,4400 STRINGFELLOW RD,CHANTILLY,"20151",https://rockyrunms.fcps.edu/,"7038027700","5",2023_24,dee639fb-5a51-4d09-99d9-6fe33f930dea,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.3272213394246,38.8604920682873,"4860",KATHERINE JOHNSON,MS,Middle School,7-8,3801 JERMANTOWN RD,FAIRFAX,"22030",https://johnsonms.fcps.edu/,"7039342400","5",2023_24,dae4e68f-c381-411a-be0b-cffd34534820,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.4548158383104,38.8575210085633,"4861",STONE,MS,Middle School,7-8,5500 SULLY PARK DR,CENTREVILLE,"20120",https://stonems.fcps.edu/,"7036315500","5",2023_24,3137997b-3270-4119-8d66-80a3bd67277e,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
-77.2734462657039,38.8361947494168,"4862",FROST,MS,Middle School,7-8,4101 PICKETT RD,FAIRFAX,"22032",https://frostms.fcps.edu/,"7034265700","5",2023_24,33782206-4189-4bd7-899a-a496d0c4508f,2023/10/15 05:02:31.391+00,FairfaxCounty,2023/10/15 05:02:31.391+00,FairfaxCounty,"1"
