GEO_ID,NAME,S1701_C01_001E
Geography,Geographic Area Name,Estimate!!Total!!Population for whom poverty status is determined
51003,"Albemarle County, Virginia",107119
51013,"Arlington County, Virginia",231549
51015,"Augusta County, Virginia",74872
51019,"Bedford County, Virginia",80041
51041,"Chesterfield County, Virginia",372794
51059,"Fairfax County, Virginia",1127335
51061,"Fauquier County, Virginia",74184
51069,"Frederick County, Virginia",93870
51085,"Hanover County, Virginia",110493
51087,"Henrico County, Virginia",329554
51095,"James City County, Virginia",80295
51107,"Loudoun County, Virginia",429978
51121,"Montgomery County, Virginia",87154
51153,"Prince William County, Virginia",481669
51161,"Roanoke County, Virginia",94576
51165,"Rockingham County, Virginia",83158
51177,"Spotsylvania County, Virginia",145597
51179,"Stafford County, Virginia",159190
51199,"York County, Virginia",70191
51510,"Alexandria city, Virginia",154495
51550,"Chesapeake city, Virginia",248443
51650,"Hampton city, Virginia",134874
51680,"Lynchburg city, Virginia",68830
51700,"Newport News city, Virginia",177415
51710,"Norfolk city, Virginia",216007
51740,"Portsmouth city, Virginia",94510
51760,"Richmond city, Virginia",218414
51770,"Roanoke city, Virginia",96230
51800,"Suffolk city, Virginia",97025
51810,"Virginia Beach city, Virginia",447930